UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 08:11 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 08:11 ?        00:00:00 [kthreadd]
root         3     2  0 08:11 ?        00:00:01 [ksoftirqd/0]
root         7     2  0 08:11 ?        00:00:05 [rcu_preempt]
root         8     2  0 08:11 ?        00:00:00 [rcu_sched]
root         9     2  0 08:11 ?        00:00:00 [rcu_bh]
root        10     2  0 08:11 ?        00:00:05 [rcuop/0]
root        11     2  0 08:11 ?        00:00:00 [rcuos/0]
root        12     2  0 08:11 ?        00:00:00 [rcuob/0]
root        13     2  0 08:11 ?        00:00:00 [migration/0]
root        14     2  0 08:11 ?        00:00:00 [watchdog/0]
root        15     2  0 08:11 ?        00:00:00 [khelper]
root        16     2  0 08:11 ?        00:00:00 [kdevtmpfs]
root        17     2  0 08:11 ?        00:00:00 [netns]
root        18     2  0 08:11 ?        00:00:00 [perf]
root        19     2  0 08:11 ?        00:00:00 [khungtaskd]
root        20     2  0 08:11 ?        00:00:00 [writeback]
root        21     2  0 08:11 ?        00:00:00 [ksmd]
root        23     2  0 08:11 ?        00:00:00 [khugepaged]
root        24     2  0 08:11 ?        00:00:00 [crypto]
root        25     2  0 08:11 ?        00:00:00 [kintegrityd]
root        26     2  0 08:11 ?        00:00:00 [bioset]
root        27     2  0 08:11 ?        00:00:00 [kblockd]
root        28     2  0 08:11 ?        00:00:00 [ata_sff]
root        29     2  0 08:11 ?        00:00:00 [devfreq_wq]
root        30     2  0 08:11 ?        00:00:01 [kswapd0]
root        31     2  0 08:11 ?        00:00:00 [fsnotify_mark]
root        40     2  0 08:11 ?        00:00:00 [kthrotld]
root        41     2  0 08:11 ?        00:00:00 [kpsmoused]
root        43     2  0 08:11 ?        00:00:00 [ipv6_addrconf]
root        57     2  0 08:11 ?        00:00:00 [deferwq]
root        93     2  0 08:11 ?        00:00:00 [kauditd]
root       250     2  0 08:11 ?        00:00:00 [mpt_poll_0]
root       252     2  0 08:11 ?        00:00:00 [mpt/0]
root       258     2  0 08:11 ?        00:00:00 [scsi_eh_0]
root       259     2  0 08:11 ?        00:00:00 [scsi_tmf_0]
root       261     2  0 08:11 ?        00:00:00 [ttm_swap]
root       268     2  0 08:11 ?        00:00:00 [scsi_eh_1]
root       269     2  0 08:11 ?        00:00:00 [scsi_tmf_1]
root       270     2  0 08:11 ?        00:00:00 [scsi_eh_2]
root       271     2  0 08:11 ?        00:00:00 [scsi_tmf_2]
root       278     2  0 08:11 ?        00:00:00 [bioset]
root       301     2  0 08:11 ?        00:00:00 [btrfs-worker]
root       302     2  0 08:11 ?        00:00:00 [kworker/u3:0]
root       303     2  0 08:11 ?        00:00:00 [btrfs-worker-hi]
root       304     2  0 08:11 ?        00:00:00 [btrfs-delalloc]
root       305     2  0 08:11 ?        00:00:00 [btrfs-flush_del]
root       306     2  0 08:11 ?        00:00:00 [btrfs-cache]
root       307     2  0 08:11 ?        00:00:00 [btrfs-submit]
root       308     2  0 08:11 ?        00:00:00 [btrfs-fixup]
root       309     2  0 08:11 ?        00:00:00 [btrfs-endio]
root       310     2  0 08:11 ?        00:00:00 [btrfs-endio-met]
root       311     2  0 08:11 ?        00:00:00 [btrfs-endio-met]
root       312     2  0 08:11 ?        00:00:00 [btrfs-endio-rai]
root       313     2  0 08:11 ?        00:00:00 [btrfs-endio-rep]
root       314     2  0 08:11 ?        00:00:00 [btrfs-rmw]
root       315     2  0 08:11 ?        00:00:00 [btrfs-endio-wri]
root       316     2  0 08:11 ?        00:00:00 [btrfs-freespace]
root       317     2  0 08:11 ?        00:00:00 [btrfs-delayed-m]
root       318     2  0 08:11 ?        00:00:00 [btrfs-readahead]
root       319     2  0 08:11 ?        00:00:00 [btrfs-qgroup-re]
root       320     2  0 08:11 ?        00:00:00 [btrfs-extent-re]
root       321     2  0 08:11 ?        00:00:03 [btrfs-cleaner]
root       322     2  0 08:11 ?        00:00:03 [btrfs-transacti]
root       408     1  0 08:11 ?        00:00:00 /usr/lib/systemd/systemd-journald
root       420     1  0 08:11 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       451     1  0 08:11 ?        00:00:01 /usr/sbin/haveged -w 1024 -v 0 -F
root       631     2  0 08:11 ?        00:00:00 [xfsalloc]
root       632     2  0 08:11 ?        00:00:00 [xfs_mru_cache]
root       633     2  0 08:11 ?        00:00:00 [xfs-buf/sda4]
root       634     2  0 08:11 ?        00:00:00 [xfs-buf/sda3]
root       635     2  0 08:11 ?        00:00:00 [xfs-data/sda3]
root       636     2  0 08:11 ?        00:00:00 [xfs-data/sda4]
root       637     2  0 08:11 ?        00:00:00 [xfs-conv/sda3]
root       638     2  0 08:11 ?        00:00:00 [xfs-conv/sda4]
root       639     2  0 08:11 ?        00:00:00 [xfs-cil/sda3]
root       640     2  0 08:11 ?        00:00:00 [xfs-cil/sda4]
root       641     2  0 08:11 ?        00:00:05 [xfsaild/sda3]
root       642     2  0 08:11 ?        00:00:00 [xfsaild/sda4]
root       647     1  0 08:11 ?        00:00:00 /sbin/auditd -n
message+   826     1  0 08:11 ?        00:00:00 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      829     1  0 08:11 ?        00:00:01 avahi-daemon: running [linux-wdxn.local]
root       831     1  0 08:11 ?        00:00:00 /usr/sbin/ModemManager
root       832     1  0 08:11 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -f /var/log/wpa_supplicant.log
root       837     1  0 08:11 ?        00:00:00 /usr/bin/VGAuthService -s
root       838     1  0 08:11 ?        00:00:12 /usr/bin/vmtoolsd
